Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Brad Larse		L	1997-1998	2007-2008	294	19	29	48	-23	134	1	5	1	1	214
Norm Calladie		C	1942-1943	1944-1945	63	19	29	48		8					
Peter Worrell		L	1997-1998	2003-2004	391	19	27	46	-48	"1,554"	2	0	4	0	345
Be Guite		R	2005-2006	2009-2010	175	19	26	45	-4	97	0	1	4	0	236
Fabia Brustrom		L	2008-2009	2011-2012	104	19	22	41	-13	22	4	0	5	0	125
Edmod Bouchard		L	1921-1922	1928-1929	211	19	21	40		117					
Ke Solheim		L	1980-1981	1985-1986	135	19	20	39	-26	34	6	0	4		197
Steve Wojciechowski		R	1944-1945	1946-1947	54	19	20	39		17					
Jeremy Steveso		L	1995-1996	2005-2006	207	19	19	38	-6	451	4	0	2	0	197
Earl Aderso		R	1974-1975	1976-1977	109	19	19	38	-4	22	2	0	5		155
Clarece Abel		D	1926-1927	1933-1934	333	19	18	37		359					
Lou Jakowski		C	1950-1951	1954-1955	127	19	18	37		15					
Tim Stapleto		C	2008-2009	2011-2012	118	19	18	37	-14	24	6	0	4	0	133
Howard Gassoff		L	1975-1976	1978-1979	122	19	17	36	-43	163	1	0	1		140
Loy Bohoos		R	1995-1996	1998-1999	83	19	16	35	-7	22	2	0	1	0	133
Bert McIely		L	1930-1931	1935-1936	166	19	15	34		144					
Earl Miller		L	1927-1928	1931-1932	109	19	14	33		124					
Deis Hamel		L	1999-2000	2006-2007	192	19	12	31	-10	77	1	1	4	0	236
Alex McKio		R	1924-1925	1928-1929	193	19	11	30		237					
Mark Hartiga		C	2001-2002	2007-2008	102	19	11	30	-14	58	6	0	1	0	131
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Vitali Prokhorov		L	1992-1993	1994-1995	83	19	11	30	-9	35	3	0	2	0	106
Jaso Zucker	MIN	L	2011-2012	2014-2015	76	19	8	27	4	24	1	1	2	0	149
Mattias Norstrom		D	1993-1994	2007-2008	903	18	147	165	8	661	3	2	2	0	757
Pat Qui		D	1968-1969	1976-1977	606	18	113	131	-3	950	0	2	3		538
Nick Beverley		D	1966-1967	1979-1980	502	18	94	112	-25	156	0	1	2		
Waye Hillma		D	1960-1961	1972-1973	691	18	86	104	-13	534	2	0	1		
Adrew MacDoald	PHI	D	2008-2009	2014-2015	333	18	81	99	-21	163	6	0	4	0	345
Dave Karpa		D	1991-1992	2002-2003	557	18	80	98	-19	"1,374"	4	1	3	0	481
Brya Maxwell		D	1977-1978	1984-1985	331	18	77	95	-42	745	2	0	0		345
Peter Tagliaetti		D	1984-1985	1994-1995	451	18	74	92	21	"1,106"	3	0	2	0	436
Geoff Smith		D	1989-1990	1998-1999	462	18	73	91	-20	282	4	1	0	0	414
Daiel Tjarqvist		D	2001-2002	2008-2009	352	18	72	90	-53	130	7	2	2	0	304
Slava Voyov	LAK	D	2011-2012	2014-2015	190	18	63	81	23	72	5	0	4	0	313
Jayso More		D	1988-1989	1998-1999	406	18	54	72	-78	702	1	2	2	0	410
Lubomir Sekeras		D	2000-2001	2003-2004	213	18	53	71	-27	122	9	0	4	0	236
Roger Leger		D	1943-1944	1949-1950	187	18	53	71		71					
Tyso Barrie	COL	D	2011-2012	2014-2015	136	18	53	71	-2	46	6	0	6	0	230
Neil Sheehy		D	1983-1984	1991-1992	379	18	47	65	28	"1,316"	1	0	0	0	260
Claire Alexader		D	1974-1975	1977-1978	155	18	47	65	0	36	8	0	1		302
Dale Degray		D	1985-1986	1989-1990	153	18	47	65	-1	195	1	0	3	0	272
Trevor Wesley		D	1979-1980	1985-1986	298	18	46	64	-36	486	7	0	3		305
Mark Mowers		R	1998-1999	2007-2008	278	18	44	62	0	70	1	1	1	0	258
Iiro Jarvi		R	1988-1989	1989-1990	116	18	43	61	-24	58	2	0	2	0	161
Kamil Kreps		C	2006-2007	2009-2010	232	18	42	60	4	71	2	1	4	0	279
Paul Masick		C	1950-1951	1957-1958	232	18	41	59		139					
Ralph Nattrass		D	1946-1947	1949-1950	223	18	38	56		308					
Taer Glass	NYR	L	2007-2008	2014-2015	401	18	37	55	-45	479	1	0	2	0	303
Richard Bowess		R	1975-1976	1981-1982	173	18	37	55	-76	191	2	0	3		150
Jody Shelley		L	2000-2001	2012-2013	627	18	36	54	-35	"1,538"	1	0	2	0	391
Art Stratto		C	1959-1960	1967-1968	95	18	33	51	-10	24	5	0	2		
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Morris Mott		R	1972-1973	1974-1975	199	18	32	50	-46	49	2	1	2		192
Riley Nash	CAR	C	2011-2012	2014-2015	140	18	32	50	-7	47	2	0	3	0	166
Mila Novy		C	1982-1983	1982-1983	73	18	30	48	1	16	3	0	3		131
Ke Hammod		D	1984-1985	1992-1993	193	18	29	47	-75	290	3	0	2	0	229
Jimmy Fowler		D	1936-1937	1938-1939	135	18	29	47		39					
Patrick Rissmiller		L	2003-2004	2010-2011	192	18	28	46	-9	60	2	0	3	0	263
Do Morriso		C	1947-1948	1950-1951	112	18	28	46		12					
Mark Lawrece		R	1994-1995	2000-2001	142	18	26	44	-30	115	5	0	2	2	173
Gaetao Orlado		C	1984-1985	1986-1987	98	18	26	44	-10	51	2	2	1		116
Chris Herperger		L	1999-2000	2002-2003	169	18	25	43	-9	75	0	1	3	0	185
Joh Flesch		R	1974-1975	1979-1980	124	18	23	41	-35	117	3	0	3		140
Paul Ruge		C	1930-1931	1937-1938	140	18	22	40		57					
Petr Schastlivy		L	1999-2000	2003-2004	129	18	22	40	3	30	7	0	5	0	207
Joakim Lidstrom	STL	C	2005-2006	2014-2015	122	18	21	39	-22	52	8	0	3	0	167
Douglas Palazzari		C	1974-1975	1978-1979	108	18	20	38	-2	23	0	1	1		140
Aaro Voros		L	2007-2008	2010-2011	162	18	19	37	-22	395	4	0	2	0	148
Day Johso		C	1969-1970	1971-1972	121	18	19	37	-20	24	1	0	3		114
Dave Pasi		R	1985-1986	1988-1989	76	18	19	37	-2	50	4	0	3	0	118
Robert Sulliva		L	1982-1983	1982-1983	62	18	19	37	-17	18	5	0	0		93
George Parros		R	2005-2006	2013-2014	474	18	18	36	-11	"1,092"	0	0	1	0	214
Reid Simpso		L	1991-1992	2003-2004	301	18	18	36	-11	838	2	0	2	0	148
Mike Millar		R	1986-1987	1990-1991	78	18	18	36	-9	12	8	0	3	0	137
Michael Holmqvist		C	2003-2004	2006-2007	156	18	17	35	-25	72	3	0	1	0	204
Do O'Dooghue		R	1969-1970	1971-1972	125	18	17	35	-50	35	3	1	1		129
Herb Dickeso		L	1951-1952	1952-1953	48	18	17	35		10					
Art Duca		D	1926-1927	1930-1931	156	18	16	34		225					
Steve McKea		L	1996-1997	2003-2004	373	18	14	32	-40	824	7	0	4	1	199
Normad Aubi		C	1981-1982	1982-1983	69	18	13	31	-25	30	5	0	2		80
Harry Meekig		L	1917-1918	1926-1927	64	18	12	30		66					
Bert Marshall		D	1965-1966	1978-1979	868	17	181	198	22	926	2	0	1		
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Brya Watso		D	1963-1964	1978-1979	878	17	135	152	-97	"2,212"	1	2	2		
Tim Gleaso	CAR	D	2003-2004	2014-2015	682	17	121	138	-32	669	2	1	0	0	674
Tom Reid		D	1967-1968	1977-1978	701	17	113	130	-131	654	1	0	5		813
Dave Farrish		D	1976-1977	1983-1984	430	17	110	127	-46	440	5	1	1		624
Jiri Bubla		D	1981-1982	1985-1986	256	17	101	118	-51	202	7	0	2		334
Tracy Pratt		D	1967-1968	1976-1977	580	17	97	114	-86	"1,026"	1	0	1		497
Michael Lalor		D	1985-1986	1996-1997	687	17	88	105	-12	677	0	0	3	0	578
Ke Morrow		D	1979-1980	1988-1989	550	17	88	105	149	309	0	0	2	0	583
Jaso Demers	DAL	D	2009-2010	2014-2015	309	17	85	102	15	125	7	0	3	0	398
Al MacNeil		D	1955-1956	1967-1968	524	17	75	92	-6	617	0	0	0		
Gle Cochrae		D	1978-1979	1988-1989	411	17	72	89	59	"1,556"	0	1	5	0	313
Thomas Edur		D	1976-1977	1977-1978	158	17	70	87	15	67	6	0	2		323
Deis Grebeshkov		D	2003-2004	2013-2014	234	17	68	85	-18	114	4	0	0	0	175
Deis Gauthier		D	1997-1998	2008-2009	554	17	60	77	-5	748	0	1	3	0	436
Craig Norwich		D	1979-1980	1980-1981	104	17	58	75	-6	60	11	0	1		304
Robert McGill		D	1981-1982	1993-1994	705	17	55	72	-99	"1,766"	0	2	2	0	427
Ed Hospodar		D	1979-1980	1987-1988	450	17	51	68	-43	"1,314"	0	1	1	0	323
James Kyte		D	1982-1983	1995-1996	598	17	49	66	-92	"1,342"	0	0	2	0	356
Jamie Rivers		D	1995-1996	2006-2007	454	17	49	66	4	385	6	0	2	0	418
Aaro Johso	OTT	D	2003-2004	2012-2013	291	17	45	62	1	227	3	0	3	0	263
Cliff Peigto		C	1960-1961	1962-1963	101	17	42	59		6					
Dougie Hamilto	BOS	D	2012-2013	2014-2015	137	17	41	58	26	66	6	0	3	0	268
Jeff Figer		D	2006-2007	2009-2010	199	17	40	57	4	114	1	1	1	0	206
Steve McCarthy		D	1999-2000	2007-2008	302	17	38	55	-34	168	6	0	0	0	280
Dave Capuao		L	1989-1990	1993-1994	104	17	38	55	-15	56	6	0	2	0	118
Kelly Chase		R	1989-1990	1999-2000	458	17	36	53	-14	"2,017"	0	0	4	0	232
Per Svartvadet		C	1999-2000	2002-2003	247	17	34	51	-37	58	0	2	1	0	261
Harold Jackso		D	1936-1937	1946-1947	219	17	34	51		208					
Keith Aucoi		C	2005-2006	2013-2014	145	17	32	49	3	22	2	0	2	0	165
Chris Tacill		R	1990-1991	1997-1998	134	17	32	49	-30	54	1	3	0	0	193
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
James Jackso		L	1982-1983	1987-1988	112	17	30	47	11	20	2	2	3	0	172
Sami Vatae	ANA	D	2012-2013	2014-2015	89	17	30	47	14	44	8	1	1	0	134
Mick Vukota		R	1987-1988	1997-1998	573	17	29	46	-35	"2,071"	0	0	0	0	269
Mika Alatalo		L	1999-2000	2000-2001	152	17	29	46	-2	58	1	0	2	0	171
Alfie Turcotte		C	1983-1984	1990-1991	112	17	29	46	-21	49	8	0	2	0	117
Krzysztof Oliwa		L	1996-1997	2005-2006	410	17	28	45	-17	"1,447"	1	0	5	0	273
Jeff Daiels		L	1990-1991	2002-2003	425	17	26	43	-31	83	0	1	2	1	254
Timothy Berglad		R	1989-1990	1993-1994	182	17	26	43	-22	75	0	0	0	0	188
Viacheslav Butsayev		C	1992-1993	1999-2000	132	17	26	43	-8	133	2	0	3	0	165
Wilf Field		D	1936-1937	1944-1945	219	17	25	42		151					
George Swarbrick		R	1967-1968	1970-1971	132	17	25	42	-36	173	4	1	3		276
Chris Lidberg		L	1991-1992	1993-1994	116	17	25	42	-1	47	1	0	1	0	135
Normad Leveille		L	1981-1982	1982-1983	75	17	25	42	17	49	3	0	6		179
Dale Weise	MTL	R	2010-2011	2014-2015	208	17	24	41	-1	218	1	0	3	0	170
Da Newma		R	1976-1977	1979-1980	126	17	24	41	-17	63	0	0	2		173
James Roberts		R	1976-1977	1978-1979	106	17	23	40	-28	33	1	0	0		156
Stu Grimso		L	1988-1989	2001-2002	729	17	22	39	-41	"2,113"	1	0	3	0	211
Zemgus Girgesos	BUF	C	2013-2014	2014-2015	102	17	22	39	-3	27	0	2	1	0	172
Toy Featherstoe		R	1969-1970	1973-1974	130	17	21	38	-20	65	1	2	1		195
George Morriso		L	1970-1971	1971-1972	115	17	21	38	-13	13	5	0	2		156
Joh Pohl		C	2003-2004	2007-2008	115	17	21	38	-8	24	4	0	2	0	146
Joseph Cotii		C	1977-1978	1980-1981	68	17	21	38	-21	34	5	0	1		75
Natha LaFayette		C	1993-1994	1998-1999	187	17	20	37	-14	103	2	3	3	0	225
Mike Lampma		L	1972-1973	1976-1977	96	17	20	37	-15	34	2	0	1		156
George Boothma		C	1942-1943	1943-1944	58	17	19	36		18					
Joh Kordic		R	1985-1986	1991-1992	244	17	18	35	-30	997	3	0	0	0	136
Matt Fratti	TOR	R	2010-2011	2014-2015	132	17	18	35	-3	44	1	0	5	0	203
Jay Beagle	WSH	R	2008-2009	2014-2015	217	17	16	33	-22	83	0	0	4	0	244
James Jarvis		L	1929-1930	1936-1937	112	17	15	32		62					
Joe Matte		D	1919-1920	1925-1926	68	17	15	32		54					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Mike Brow	SJS	R	2007-2008	2014-2015	345	17	14	31	-31	679	1	1	4	0	321
Mats Halli		C	1982-1983	1986-1987	152	17	14	31	-11	193	0	0	2		124
Dusti Jeffrey	VAN	C	2008-2009	2013-2014	124	17	14	31	2	10	1	1	1	0	146
Michael Raffl	PHI	L	2013-2014	2014-2015	90	17	14	31	4	36	0	0	3	0	151
Peter Hollad	TOR	C	2011-2012	2014-2015	99	17	13	30	3	36	3	1	3	0	113
Joh McCreedy		R	1941-1942	1944-1945	64	17	12	29		25					
Kai Nurmie		L	1996-1997	2000-2001	69	17	11	28	-4	24	4	0	1	1	113
Bob Coors		L	1926-1927	1929-1930	78	17	10	27		110					
Steve Kig		R	1992-1993	1995-1996	67	17	8	25	-4	75	9	0	4	0	97
Frak Foysto		C	1926-1927	1927-1928	64	17	7	24		32					
Rady Hillier		D	1981-1982	1991-1992	543	16	110	126	-11	906	1	1	2	1	418
Gordo Diee		D	1982-1983	1994-1995	528	16	90	106	-56	697	2	0	0	0	430
Cale Hulse		D	1995-1996	2005-2006	619	16	79	95	-65	"1,000"	2	2	2	0	702
Neil Komadoski		D	1972-1973	1979-1980	502	16	76	92	-34	632	5	0	1		426
Carl Guarsso	STL	D	2009-2010	2014-2015	324	16	75	91	20	94	1	0	2	0	292
Larry Carriere		D	1972-1973	1979-1980	367	16	74	90	9	462	5	2	1		465
Adreas Lilja		D	2000-2001	2012-2013	580	16	71	87	32	563	1	0	3	0	498
Bruo Gervais	COL	D	2005-2006	2012-2013	418	16	71	87	-81	182	3	0	2	0	441
Roma Polak	TOR	D	2006-2007	2014-2015	445	16	68	84	-13	329	0	0	5	0	450
Travis Hamoic	NYI	D	2010-2011	2014-2015	273	16	68	84	4	320	6	0	1	0	490
Craig Redmod		D	1984-1985	1988-1989	191	16	68	84	-57	134	7	0	0	0	281
Neil Wilkiso		D	1989-1990	1998-1999	460	16	67	83	-93	813	3	2	1	0	439
Matt Huwick	NYR	D	2007-2008	2014-2015	316	16	58	74	-7	124	1	1	2	0	346
Adria Plavsic		D	1989-1990	1996-1997	214	16	56	72	13	161	7	0	3	1	249
Shae Hidy		D	2000-2001	2010-2011	550	16	55	71	14	633	1	2	3	0	453
Charles Bourgeois		D	1981-1982	1987-1988	290	16	54	70	46	788	1	0	2	0	229
Tapio Levo		D	1981-1982	1982-1983	107	16	53	69	-54	36	8	0	0		257
Vitaly Vishevski		D	1999-2000	2007-2008	552	16	52	68	-27	494	1	1	0	0	456
Do Jackso		D	1977-1978	1986-1987	311	16	52	68	75	640	0	2	3		249
Jaso Marshall		D	1991-1992	2005-2006	526	16	51	67	-34	"1,004"	5	1	1	0	429
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Jeff Petry	EDM	D	2010-2011	2014-2015	267	16	49	65	-58	121	3	1	0	0	371
Mike Wilso		D	1995-1996	2002-2003	336	16	41	57	43	264	1	0	6	0	314
Stephae Mori		C	1989-1990	1993-1994	90	16	39	55	4	52	3	1	2	0	124
Brya Muir		D	1995-1996	2006-2007	279	16	37	53	-20	281	4	1	1	0	361
Mike Keedy		C	1994-1995	1998-1999	145	16	36	52	-1	112	6	0	2	0	225
Joh Wright		C	1972-1973	1974-1975	127	16	36	52	-22	67	1	0	1		193
Adreas Karlsso		C	1999-2000	2007-2008	264	16	35	51	-38	72	1	1	2	0	254
Lace Pitlick		D	1994-1995	2001-2002	393	16	33	49	-8	298	0	0	2	0	243
Jo Morris		C	1988-1989	1993-1994	103	16	33	49	2	47	4	0	2	0	82
Duke Dutkowski		D	1926-1927	1933-1934	200	16	30	46		172					
Joel Kwiatkowski		D	2000-2001	2007-2008	282	16	29	45	-27	245	4	0	3	1	314
Bria Perry		C	1968-1969	1970-1971	96	16	29	45	-9	24	0	0	1		116
Casey Cizikas	NYI	C	2011-2012	2014-2015	167	16	28	44	-7	58	1	1	3	0	171
Bria Laveder		L	1971-1972	1974-1975	184	16	26	42	-56	174	2	0	2		187
Michael Stoe	ARI	D	2011-2012	2014-2015	154	16	25	41	-9	72	3	0	1	0	218
Philippe Bozo		L	1991-1992	1994-1995	144	16	25	41	6	101	0	1	1	0	227
Tom Miller		C	1970-1971	1974-1975	118	16	25	41	-50	34	3	1	1		142
Rya Bayda		L	2002-2003	2008-2009	179	16	24	40	-20	94	0	0	2	0	244
Riley Sheaha	DET	C	2011-2012	2014-2015	76	16	24	40	11	16	6	0	1	0	118
Darre Lagdo		L	1994-1995	2005-2006	521	16	23	39	-13	"1,251"	0	0	3	1	156
Camero Stewart		L	1993-1994	2000-2001	202	16	23	39	-15	120	0	1	4	1	193
Mark Freer		C	1986-1987	1993-1994	124	16	23	39	-37	61	3	3	2	0	124
Paul Byro	CGY	C	2010-2011	2014-2015	114	16	23	39	4	39	3	1	2	0	109
Ke Kilrea		L	1938-1939	1943-1944	91	16	23	39		8					
Jea-Yves Leroux		L	1996-1997	2000-2001	220	16	22	38	-27	146	1	0	1	0	200
David Nemirovsky		R	1995-1996	1998-1999	91	16	22	38	-2	42	3	0	1	1	123
Vadim Sharifijaov		R	1996-1997	1999-2000	92	16	21	37	-2	50	2	0	2	0	121
Coli McDoald	NYI	R	2009-2010	2014-2015	124	16	20	36	-22	66	1	0	0	0	190
Jeffrey Parker		R	1986-1987	1990-1991	141	16	19	35	-8	163	0	0	2	0	153
Max McNab		C	1947-1948	1950-1951	128	16	19	35		24					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Chris Murray		R	1994-1995	1999-2000	242	16	18	34	-8	550	0	0	3	1	186
William Huard		L	1992-1993	1999-2000	223	16	18	34	-16	594	0	0	0	1	127
Elias Lidholm	CAR	C	2013-2014	2014-2015	88	16	18	34	-22	10	7	0	5	0	126
Bob Barlow		L	1969-1970	1970-1971	77	16	17	33	-3	10	6	1	1		164
Jea-Marc Lathier		R	1983-1984	1987-1988	105	16	16	32	-36	29	5	0	2	0	85
Robert Cimetta		L	1988-1989	1991-1992	103	16	16	32	0	66	2	0	2	0	81
Bria Fly	BUF	C	2012-2013	2014-2015	128	16	15	31	-2	16	0	2	1	0	186
Jack Stoddard		R	1951-1952	1952-1953	80	16	15	31		31					
Scott Fraser		R	1995-1996	1998-1999	71	16	15	31	-7	24	7	0	2	0	105
Brado Pirri	FLA	C	2010-2011	2014-2015	70	16	15	31	9	14	4	0	0	0	121
Bill Thomas		R	2005-2006	2011-2012	87	16	12	28	-13	18	5	1	3	0	143
Walter Jackso		L	1932-1933	1935-1936	84	16	11	27		18					
Bill Kedall		R	1933-1934	1937-1938	131	16	10	26		28					
Jeff Brubaker		L	1979-1980	1988-1989	178	16	9	25	-24	512	2	0	1	0	96
Harry Coor		L	1927-1928	1930-1931	134	16	5	21		149					
Bret Hughes		D	1967-1968	1974-1975	435	15	117	132	-120	440	2	0	0		592
Michael Christie		D	1974-1975	1980-1981	412	15	101	116	-97	550	0	0	2		310
Larry Giroux		D	1973-1974	1979-1980	274	15	74	89	-86	333	3	0	3		416
Gregory Hotham		D	1979-1980	1984-1985	230	15	74	89	-53	139	5	0	0		297
Marc Methot	OTT	D	2006-2007	2014-2015	399	15	71	86	-4	269	0	0	1	0	392
Aki Berg		D	1995-1996	2005-2006	606	15	70	85	-12	374	5	0	3	0	518
Barry Ashbee		D	1965-1966	1973-1974	284	15	70	85	55	291	4	1	2		
"Mike McMaho, Jr."		D	1963-1964	1971-1972	224	15	68	83	-29	171	4	0	1		
Greg Theberge		D	1979-1980	1983-1984	153	15	63	78	-20	73	10	0	1		327
Robert Bougher		D	1995-1996	2005-2006	630	15	57	72	27	"1,382"	1	0	4	0	388
Matt Greee	LAK	D	2005-2006	2014-2015	536	15	57	72	-11	620	0	0	4	0	416
Jack Portlad		D	1933-1934	1942-1943	381	15	56	71		323					
Nikita Nikiti	EDM	D	2010-2011	2014-2015	228	15	55	70	-4	75	5	0	5	0	345
Michal Sykora		D	1993-1994	2000-2001	267	15	54	69	-16	185	3	1	2	0	315
Grat Clitsome	WPG	D	2009-2010	2014-2015	198	15	54	69	-5	96	5	0	1	0	255
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Joh Erskie	WSH	D	2001-2002	2013-2014	491	15	39	54	-17	865	0	0	2	0	393
Roger Jekis		R	1930-1931	1938-1939	325	15	39	54		253					
Rick Bragalo		C	1975-1976	1978-1979	145	15	35	50	-27	46	1	2	1		177
Patrick Maroo	ANA	L	2011-2012	2014-2015	102	15	31	46	4	133	2	0	4	0	155
Ro Husto		C	1973-1974	1974-1975	79	15	31	46	-27	8	0	0	3		140
Waye Rivers		R	1961-1962	1968-1969	108	15	30	45	-3	94	1	0	0		
Michael Moller		R	1980-1981	1986-1987	134	15	28	43	2	41	1	0	4		112
Sta Drulia		R	1992-1993	2000-2001	126	15	27	42	-28	52	2	2	2	1	136
Mike Watt		L	1997-1998	2002-2003	157	15	26	41	-17	41	0	1	6	0	158
Ke Doraty		R	1926-1927	1937-1938	103	15	26	41		24					
Tim Keedy	WSH	L	2008-2009	2013-2014	162	15	24	39	-17	60	1	0	5	0	189
David Doelly		C	1983-1984	1987-1988	137	15	24	39	8	150	0	1	1	0	130
Coie Brow		C	1938-1939	1942-1943	73	15	24	39		12					
Eric Nickulas		R	1998-1999	2005-2006	118	15	23	38	-11	82	2	0	1	0	172
Ed Kryzaowski		D	1948-1949	1952-1953	237	15	22	37		65					
Mike Tomlak		C	1989-1990	1993-1994	141	15	22	37	-6	103	1	2	2	0	145
Joh Chad		R	1939-1940	1945-1946	80	15	22	37		29					
Doald Laurece		C	1978-1979	1979-1980	79	15	22	37	1	14	2	0	4		148
Adreas Nodl		R	2008-2009	2012-2013	183	15	21	36	-9	28	1	1	2	0	207
Bob Bailey		R	1953-1954	1957-1958	150	15	21	36		207					
Bria Ogilvie		C	1972-1973	1978-1979	90	15	21	36	-23	29	4	0	2		146
Ed Hoekstra		C	1967-1968	1967-1968	70	15	21	36	6	6	5	0	4		126
Jack Shill		C	1933-1934	1938-1939	160	15	20	35		70					
Steve Gatzos		R	1981-1982	1984-1985	89	15	20	35	-31	83	3	0	2		141
Chris Digma		L	1997-1998	2005-2006	385	15	19	34	-58	769	3	0	1	0	306
Alexader Perezhogi		R	2005-2006	2006-2007	128	15	19	34	16	86	4	0	3	0	212
Drayso Bowma	MTL	L	2009-2010	2014-2015	179	15	18	33	-8	53	1	0	0	0	263
Paul Marshall		L	1979-1980	1982-1983	95	15	18	33	-17	17	3	0	5		108
Alex Faulker		C	1961-1962	1963-1964	101	15	17	32		15					
David Chyzowski		L	1989-1990	1996-1997	126	15	16	31	-29	144	3	0	1	0	164
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Dave Roche		L	1995-1996	2001-2002	171	15	15	30	-20	334	3	0	3	0	151
Justi Fotaie	MIN	R	2013-2014	2014-2015	92	15	15	30	10	28	1	0	1	0	105
Bob Dill		D	1943-1944	1944-1945	76	15	15	30		135					
Bill MacKezie		D	1932-1933	1939-1940	264	15	14	29		145					
Fred Hut		R	1940-1941	1944-1945	59	15	14	29		6					
Steve Rooey		C	1984-1985	1988-1989	154	15	13	28	-16	496	2	0	2	0	137
Brad Smyth		R	1995-1996	2002-2003	88	15	13	28	-17	109	3	0	1	1	140
Jud McAtee		L	1942-1943	1944-1945	46	15	13	28		6					
Tommy Filmore		R	1930-1931	1933-1934	117	15	12	27		33					
Fred O'Doell		R	1972-1973	1973-1974	115	15	11	26	6	98	0	0	3		95
Luke Adam	CBJ	C	2010-2011	2013-2014	87	15	11	26	-11	32	0	0	1	0	138
Art Smith		D	1927-1928	1930-1931	144	15	10	25		249					
Armad Gaudreault		L	1944-1945	1944-1945	44	15	9	24		27					
Aders Lee	NYI	C	2012-2013	2014-2015	49	15	8	23	2	29	3	0	1	0	124
Joe Hall		D	1917-1918	1918-1919	38	15	8	23		189					
Billy Boyd		R	1926-1927	1929-1930	138	15	7	22		72					
Dave Ritchie		D	1917-1918	1925-1926	58	15	6	21		50					
Keith Maguso		D	1969-1970	1979-1980	589	14	125	139	170	"1,442"	0	0	1		461
Noel Price		D	1957-1958	1975-1976	499	14	114	128	-70	333	3	1	2		
Bria Gleie		D	1969-1970	1978-1979	572	14	100	114	65	621	1	1	2		563
Gregory Fox		D	1977-1978	1984-1985	494	14	92	106	-34	637	1	0	1		399
Josh Gorges	BUF	D	2005-2006	2014-2015	583	14	88	102	29	259	3	0	3	0	387
Yvo Labre		D	1970-1971	1980-1981	371	14	87	101	-94	788	0	2	0		398
Adre Dore		D	1978-1979	1984-1985	257	14	81	95	36	261	0	0	2		224
Niklas Hjalmarsso	CHI	D	2007-2008	2014-2015	419	14	76	90	71	162	0	1	3	0	379
Ville Sire		D	1985-1986	1989-1990	290	14	68	82	15	276	2	0	0	0	298
TJ Brodie	CGY	D	2010-2011	2014-2015	218	14	68	82	6	68	4	0	5	0	256
Mike Komisarek		D	2002-2003	2013-2014	551	14	67	81	-19	679	0	2	2	0	479
Sheldo Kaegiesser		D	1970-1971	1977-1978	366	14	67	81	23	292	3	0	1		353
Robert Affleck		D	1974-1975	1983-1984	280	14	66	80	-82	86	4	0	2		370
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Todd Simpso		D	1995-1996	2005-2006	580	14	63	77	13	"1,357"	0	0	2	2	477
Pavel Trka		D	1997-1998	2003-2004	411	14	63	77	-12	323	4	0	0	2	411
Joatha Ericsso	DET	D	2007-2008	2014-2015	357	14	61	75	11	288	2	1	2	0	396
Paul Laus		D	1993-1994	2001-2002	530	14	58	72	31	"1,702"	0	1	1	0	360
Bill Juzda		D	1940-1941	1951-1952	398	14	54	68		398					
Marshall Johsto		D	1967-1968	1973-1974	251	14	52	66	-73	58	4	1	0		261
Robert Hoffmeyer		D	1977-1978	1984-1985	198	14	52	66	-21	325	5	0	0		261
Patrick Traverse		D	1995-1996	2005-2006	279	14	51	65	2	113	4	0	1	0	260
Paul Stato		D	1990-1991	1994-1995	295	14	49	63	-3	262	4	0	3	0	412
Jim McElmury		D	1972-1973	1977-1978	180	14	47	61	-74	49	3	0	2		261
Jamie Pushor		D	1995-1996	2005-2006	521	14	46	60	-52	648	0	1	0	0	412
Ray Timgre		L	1948-1949	1954-1955	251	14	44	58		70					
Sea Brow		D	1996-1997	2005-2006	436	14	43	57	-9	907	3	0	3	0	281
Grat Jeigs		D	1987-1988	1995-1996	389	14	43	57	-6	804	0	3	3	0	264
Rya Ellis	NSH	D	2011-2012	2014-2015	174	14	42	56	17	70	4	0	4	0	266
Jake Muzzi	LAK	D	2010-2011	2014-2015	158	14	42	56	19	103	4	0	2	0	324
